variant,heat_index_c_rmse,heat_index_c_mae,heat_index_c_gaussian_nll,heat_index_c_coverage_90,heat_index_c_crps,heat_index_c_winkler_90,heat_index_c_skill_score,wbgt_like_c_rmse,wbgt_like_c_mae,wbgt_like_c_gaussian_nll,wbgt_like_c_coverage_90,wbgt_like_c_crps,wbgt_like_c_winkler_90,wbgt_like_c_skill_score
Deterministic GRU,1.983449101448059,1.4851006269454956,3.2219507694244385,1.0,,,,1.5135042667388916,1.1194052696228027,3.1779892444610596,1.0,,,
Probabilistic GRU,1.6464927196502686,1.216662883758545,1.7959038019180298,0.9277356693174288,,,,0.8396824598312378,0.6370043158531189,1.1999164819717407,0.9361694416832339,,,
Probabilistic GRU,1.7746822834014893,1.2708728313446045,1.797148585319519,0.9053646868787276,,,,1.3308637142181396,0.747755229473114,1.1672337055206299,0.9196332422133864,,,
Probabilistic GRU,2.011808395385742,1.465034008026123,2.010524034500122,0.8980077866136514,,,,1.4729394912719727,1.0664942264556885,1.6678792238235474,0.9071404903909874,,,
Probabilistic GRU,1.6367501020431519,1.2268686294555664,1.820684790611267,0.9206117461895295,,,,0.404183954000473,0.31399691104888916,0.4764135777950287,0.8942335569913851,,,
Probabilistic GRUw/o Attention),2.2404119968414307,1.611871361732483,2.09687876701355,0.8729756875414182,,,,1.49126398563385,1.0890507698059082,1.6887850761413574,0.9067521951623592,,,
Probabilistic GRUw/o Horizon Embed),2.853522539138794,2.2177188396453857,2.4232358932495117,0.865510064612326,,,,1.8155320882797241,1.362033724784851,1.9214483499526978,0.9078497763419483,,,
